Timestamp,Value,Pod
2023-07-11 13:00:54,237.120912,dph5w
2023-07-11 13:01:54,237.154472,dph5w
2023-07-11 13:02:54,237.24755,dph5w
2023-07-11 13:03:54,237.375289,dph5w
2023-07-11 13:04:54,237.573592,dph5w
2023-07-11 13:05:54,237.755833,dph5w
2023-07-11 13:06:54,238.000942,dph5w
2023-07-11 13:07:54,238.376423,dph5w
2023-07-11 13:08:54,238.64772,dph5w
2023-07-11 13:09:54,239.091995,dph5w
2023-07-11 13:10:54,239.572395,dph5w
2023-07-11 13:11:54,240.154152,dph5w
2023-07-11 13:12:54,240.748559,dph5w
2023-07-11 13:13:54,241.370994,dph5w
2023-07-11 13:14:54,241.938342,dph5w
2023-07-11 13:15:54,242.539095,dph5w
2023-07-11 13:16:54,243.181946,dph5w
