Timestamp,Value,Pod
2023-07-11 06:16:42,0.023834,6bcr9
2023-07-11 13:00:54,158.297544,5ws59
2023-07-11 13:01:54,158.43163,5ws59
2023-07-11 13:02:54,158.709329,5ws59
2023-07-11 13:03:54,159.33634,5ws59
2023-07-11 13:04:54,160.069007,5ws59
2023-07-11 13:05:54,160.963847,5ws59
2023-07-11 13:06:54,161.8165,5ws59
2023-07-11 13:07:54,163.334961,5ws59
2023-07-11 13:08:54,164.802633,5ws59
2023-07-11 13:09:54,166.353806,5ws59
2023-07-11 13:10:54,168.208497,5ws59
2023-07-11 13:11:54,170.184739,5ws59
2023-07-11 13:12:54,171.757223,5ws59
2023-07-11 13:13:54,174.148393,5ws59
2023-07-11 13:14:54,176.737091,5ws59
2023-07-11 13:15:54,178.451607,5ws59
2023-07-11 13:16:54,180.082122,5ws59
2023-07-11 06:08:42,0.019096,skskv
2023-07-11 06:09:42,0.023244,skskv
2023-07-11 06:10:42,0.026273,skskv
2023-07-11 06:11:42,0.476453,skskv
2023-07-11 06:12:42,2.008733,skskv
2023-07-11 06:13:42,3.578237,skskv
2023-07-11 06:14:42,5.316004,skskv
2023-07-11 06:15:42,7.927011,skskv
2023-07-11 06:16:42,10.689842,skskv
2023-07-11 06:08:42,0.022823,8rhcm
2023-07-11 06:09:42,0.025466,8rhcm
2023-07-11 06:10:42,0.028299,8rhcm
2023-07-11 06:11:42,0.794128,8rhcm
2023-07-11 06:12:42,2.433951,8rhcm
2023-07-11 06:13:42,4.230803,8rhcm
2023-07-11 06:14:42,5.820167,8rhcm
2023-07-11 06:15:42,8.741075,8rhcm
2023-07-11 06:16:42,12.002444,8rhcm
2023-07-11 13:12:54,0.020932,2tfzx
2023-07-11 13:13:54,0.024314,2tfzx
2023-07-11 13:14:54,0.02745,2tfzx
2023-07-11 13:15:54,0.367878,2tfzx
2023-07-11 13:16:54,1.670984,2tfzx
2023-07-11 06:16:42,0.019371,zx4hh
