Timestamp,Value,Pod
2023-07-11 13:00:54,465.458423,sspnz
2023-07-11 13:01:54,465.506411,sspnz
2023-07-11 13:02:54,465.599586,sspnz
2023-07-11 13:03:54,465.755031,sspnz
2023-07-11 13:04:54,465.947531,sspnz
2023-07-11 13:05:54,466.208557,sspnz
2023-07-11 13:06:54,466.536112,sspnz
2023-07-11 13:07:54,466.911348,sspnz
2023-07-11 13:08:54,467.217193,sspnz
2023-07-11 13:09:54,467.588379,sspnz
2023-07-11 13:10:54,468.044765,sspnz
2023-07-11 13:11:54,468.616356,sspnz
2023-07-11 13:12:54,468.834849,sspnz
2023-07-11 13:13:54,469.449917,sspnz
2023-07-11 13:14:54,470.07117,sspnz
2023-07-11 13:15:54,470.688409,sspnz
2023-07-11 13:16:54,471.219728,sspnz
2023-07-11 06:07:42,0.009109,p9mpp
2023-07-11 06:08:42,20.595169,p9mpp
2023-07-11 06:09:42,35.926803,p9mpp
2023-07-11 06:10:42,37.631299,p9mpp
2023-07-11 06:11:42,39.169971,p9mpp
2023-07-11 06:12:42,40.394614,p9mpp
2023-07-11 06:13:42,41.356085,p9mpp
2023-07-11 06:14:42,42.587515,p9mpp
2023-07-11 06:15:42,44.433753,p9mpp
2023-07-11 06:16:42,46.237097,p9mpp
