Timestamp,Value,Pod
2023-07-11 06:08:42,20.129723,md5bj
2023-07-11 06:09:42,42.288794,md5bj
2023-07-11 06:10:42,47.108026,md5bj
2023-07-11 06:11:42,49.185542,md5bj
2023-07-11 06:12:42,50.999903,md5bj
2023-07-11 06:13:42,52.676228,md5bj
2023-07-11 06:14:42,54.62016,md5bj
2023-07-11 06:15:42,57.678765,md5bj
2023-07-11 06:16:42,60.913782,md5bj
2023-07-11 13:08:54,19.317822,lzr4t
2023-07-11 13:09:54,36.622022,lzr4t
2023-07-11 13:10:54,40.347298,lzr4t
2023-07-11 13:11:54,44.720296,lzr4t
2023-07-11 13:12:54,46.446139,lzr4t
2023-07-11 13:13:54,48.403186,lzr4t
2023-07-11 13:14:54,50.07074,lzr4t
2023-07-11 13:15:54,50.858411,lzr4t
2023-07-11 13:16:54,51.907828,lzr4t
2023-07-11 13:11:54,0.009797,pnnm9
2023-07-11 13:12:54,28.86876,pnnm9
2023-07-11 13:13:54,36.049268,pnnm9
2023-07-11 13:14:54,39.631529,pnnm9
2023-07-11 13:15:54,41.689164,pnnm9
2023-07-11 13:16:54,43.736537,pnnm9
2023-07-11 13:12:54,18.522922,pp9wc
2023-07-11 13:13:54,36.849263,pp9wc
2023-07-11 13:14:54,40.70814,pp9wc
2023-07-11 13:15:54,42.265329,pp9wc
2023-07-11 13:16:54,43.874464,pp9wc
2023-07-11 06:08:42,13.0291,5kp2v
2023-07-11 06:09:42,37.882938,5kp2v
2023-07-11 06:10:42,43.278632,5kp2v
2023-07-11 06:11:42,45.920484,5kp2v
2023-07-11 06:12:42,47.396968,5kp2v
2023-07-11 06:13:42,48.880472,5kp2v
2023-07-11 06:14:42,51.614725,5kp2v
2023-07-11 06:15:42,54.496297,5kp2v
2023-07-11 06:16:42,58.913861,5kp2v
2023-07-11 06:07:42,0.018278,fclpt
2023-07-11 06:08:42,24.725346,fclpt
2023-07-11 06:09:42,40.970009,fclpt
2023-07-11 06:10:42,44.596353,fclpt
2023-07-11 06:11:42,46.463396,fclpt
2023-07-11 06:12:42,48.107832,fclpt
2023-07-11 06:13:42,49.733895,fclpt
2023-07-11 06:14:42,51.509275,fclpt
2023-07-11 06:15:42,53.84539,fclpt
2023-07-11 06:16:42,57.624204,fclpt
2023-07-11 13:11:54,0.00923,4g58z
2023-07-11 13:12:54,27.658854,4g58z
2023-07-11 13:13:54,34.986732,4g58z
2023-07-11 13:14:54,38.307875,4g58z
2023-07-11 13:15:54,40.776847,4g58z
2023-07-11 13:16:54,42.564366,4g58z
2023-07-11 06:08:42,15.739596,sng9p
2023-07-11 06:09:42,39.295571,sng9p
2023-07-11 06:10:42,43.326268,sng9p
2023-07-11 06:11:42,46.775975,sng9p
2023-07-11 06:12:42,49.025539,sng9p
2023-07-11 06:13:42,50.701543,sng9p
2023-07-11 06:14:42,52.395557,sng9p
2023-07-11 06:15:42,55.489225,sng9p
2023-07-11 06:16:42,59.341952,sng9p
2023-07-11 06:06:42,190.838822,mvkrp
