Timestamp,Value,Pod
2023-07-11 13:00:54,67.614432,z924m
2023-07-11 13:01:54,68.003421,z924m
2023-07-11 13:02:54,69.740914,z924m
2023-07-11 13:03:54,72.058287,z924m
2023-07-11 13:04:54,74.790253,z924m
2023-07-11 13:05:54,78.573744,z924m
2023-07-11 13:06:54,82.145513,z924m
2023-07-11 13:07:54,86.812335,z924m
2023-07-11 13:08:54,91.984489,z924m
2023-07-11 13:09:54,96.7668,z924m
2023-07-11 13:10:54,102.108212,z924m
2023-07-11 13:11:54,108.341012,z924m
2023-07-11 13:12:54,113.876374,z924m
2023-07-11 13:13:54,119.537518,z924m
2023-07-11 13:14:54,125.585789,z924m
2023-07-11 13:15:54,131.070973,z924m
2023-07-11 13:16:54,137.293275,z924m
2023-07-11 13:03:54,0.541757,sd7gd
2023-07-11 13:04:54,1.119097,sd7gd
2023-07-11 13:05:54,2.284106,sd7gd
2023-07-11 13:06:54,4.193514,sd7gd
2023-07-11 13:07:54,5.964237,sd7gd
2023-07-11 13:08:54,8.20343,sd7gd
2023-07-11 13:09:54,11.22775,sd7gd
2023-07-11 13:10:54,13.693372,sd7gd
2023-07-11 13:11:54,17.805534,sd7gd
2023-07-11 13:12:54,21.41837,sd7gd
2023-07-11 13:13:54,24.92842,sd7gd
2023-07-11 13:14:54,28.664187,sd7gd
2023-07-11 13:15:54,32.534657,sd7gd
2023-07-11 13:16:54,36.219421,sd7gd
2023-07-11 13:08:54,0.575287,jw2gq
2023-07-11 13:09:54,1.03976,jw2gq
2023-07-11 13:10:54,1.739431,jw2gq
2023-07-11 13:11:54,2.67765,jw2gq
2023-07-11 13:12:54,3.84939,jw2gq
2023-07-11 13:13:54,5.224046,jw2gq
2023-07-11 13:14:54,6.350719,jw2gq
2023-07-11 13:15:54,7.947104,jw2gq
2023-07-11 13:16:54,9.305154,jw2gq
2023-07-11 13:10:54,0.681625,twfpn
2023-07-11 13:11:54,1.191425,twfpn
2023-07-11 13:12:54,1.692727,twfpn
2023-07-11 13:13:54,2.743464,twfpn
2023-07-11 13:14:54,3.487008,twfpn
2023-07-11 13:15:54,4.283294,twfpn
2023-07-11 13:16:54,4.927692,twfpn
2023-07-11 13:06:54,0.01059,94zxf
2023-07-11 13:07:54,0.852799,94zxf
2023-07-11 13:08:54,1.696788,94zxf
2023-07-11 13:09:54,3.042002,94zxf
2023-07-11 13:10:54,4.613252,94zxf
2023-07-11 13:11:54,6.259336,94zxf
2023-07-11 13:12:54,8.119738,94zxf
2023-07-11 13:13:54,10.579108,94zxf
2023-07-11 13:14:54,13.031145,94zxf
2023-07-11 13:15:54,15.030656,94zxf
2023-07-11 13:16:54,17.434818,94zxf
