Timestamp,Value,Pod
2023-07-11 06:09:42,0.019854,76dv5
2023-07-11 06:10:42,0.020396,76dv5
2023-07-11 06:11:42,0.020877,76dv5
2023-07-11 06:12:42,0.385387,76dv5
2023-07-11 06:13:42,1.058918,76dv5
2023-07-11 06:14:42,1.749009,76dv5
2023-07-11 13:00:54,86.125917,nknvp
2023-07-11 13:01:54,86.178314,nknvp
2023-07-11 13:02:54,86.246269,nknvp
2023-07-11 13:03:54,86.366172,nknvp
2023-07-11 13:04:54,86.588833,nknvp
2023-07-11 13:05:54,86.81428,nknvp
2023-07-11 13:06:54,87.0541,nknvp
2023-07-11 13:07:54,87.427758,nknvp
2023-07-11 13:08:54,87.742472,nknvp
2023-07-11 13:09:54,88.141879,nknvp
2023-07-11 13:10:54,88.635362,nknvp
2023-07-11 13:11:54,89.129487,nknvp
2023-07-11 13:12:54,89.609821,nknvp
2023-07-11 13:13:54,90.141309,nknvp
2023-07-11 13:14:54,90.695996,nknvp
2023-07-11 13:15:54,91.27427,nknvp
2023-07-11 13:16:54,91.72734,nknvp
