Timestamp,Value
2023-07-11 13:00:54,986.506527
2023-07-11 13:01:54,986.613476
2023-07-11 13:02:54,987.32486
2023-07-11 13:03:54,988.182499
2023-07-11 13:04:54,989.574458
2023-07-11 13:05:54,991.057498
2023-07-11 13:06:54,992.665023
2023-07-11 13:07:54,995.271285
2023-07-11 13:08:54,998.211535
2023-07-11 13:09:54,1000.506666
2023-07-11 13:10:54,1004.250132
2023-07-11 13:11:54,1008.000175
2023-07-11 13:12:54,1011.22186
2023-07-11 13:13:54,1016.366747
2023-07-11 13:14:54,1020.891603
2023-07-11 13:15:54,1024.212341
2023-07-11 13:16:54,1029.01707
