Timestamp,Value
2023-07-11 13:00:54,465.458423
2023-07-11 13:01:54,465.506411
2023-07-11 13:02:54,465.599586
2023-07-11 13:03:54,465.755031
2023-07-11 13:04:54,465.947531
2023-07-11 13:05:54,466.208557
2023-07-11 13:06:54,466.536112
2023-07-11 13:07:54,466.911348
2023-07-11 13:08:54,467.217193
2023-07-11 13:09:54,467.588379
2023-07-11 13:10:54,468.044765
2023-07-11 13:11:54,468.616356
2023-07-11 13:12:54,468.834849
2023-07-11 13:13:54,469.449917
2023-07-11 13:14:54,470.07117
2023-07-11 13:15:54,470.688409
2023-07-11 13:16:54,471.219728
