Timestamp,Value
2023-07-11 13:00:54,5676.366747
2023-07-11 13:01:54,5678.464833
2023-07-11 13:02:54,5689.407906
2023-07-11 13:03:54,5704.912086
2023-07-11 13:04:54,5730.424999
2023-07-11 13:05:54,5770.405496
2023-07-11 13:06:54,5812.903276
2023-07-11 13:07:54,5858.758471
2023-07-11 13:08:54,5929.933367
2023-07-11 13:09:54,5997.886111
2023-07-11 13:10:54,6079.564895
2023-07-11 13:11:54,6165.139593
2023-07-11 13:12:54,6263.199106
2023-07-11 13:13:54,6365.254487
2023-07-11 13:14:54,6477.383468
2023-07-11 13:15:54,6597.310169
2023-07-11 13:16:54,6710.98168
